tag,label,n_years,preference,best_I_mm,best_F_kgNha,best_Y_kgHa,best_cs,best_rel,y_se,fallback_used
P25,Dry years,10,High yield,251.61616161616163,127.27272727272727,9828.29013671875,0.8009775289381833,0.9,171.58999846232965,False
P25,Dry years,10,Water-saving,171.31313131313132,145.45454545454544,10051.03798828125,0.5718001331877736,1.0,157.86401909338014,False
P25,Dry years,10,Fertilizer-saving,251.61616161616163,127.27272727272727,9828.29013671875,0.3648195489253768,0.9,171.58999846232965,False
P25,Dry years,10,Resource-saving,251.61616161616163,127.27272727272727,9828.29013671875,0.4174336796091058,0.9,171.58999846232965,False
P25,Dry years,10,Balanced (Yield+Resource),251.61616161616163,127.27272727272727,9828.29013671875,0.5707848975704554,0.9,171.58999846232965,False
P50,Normal years,17,High yield,251.61616161616163,127.27272727272727,9518.134535845587,0.7388672379777346,0.9411764705882353,120.14657935129688,False
P50,Normal years,17,Water-saving,171.31313131313132,145.45454545454544,9468.5546875,0.5782394052133102,0.9411764705882353,132.96371382807575,False
P50,Normal years,17,Fertilizer-saving,251.61616161616163,127.27272727272727,9518.134535845587,0.3539413108278339,0.9411764705882353,120.14657935129688,False
P50,Normal years,17,Resource-saving,251.61616161616163,127.27272727272727,9518.134535845587,0.4057112490719818,0.9411764705882353,120.14657935129688,False
P50,Normal years,17,Balanced (Yield+Resource),251.61616161616163,127.27272727272727,9518.134535845587,0.589509955626437,0.9411764705882353,120.14657935129688,False
P75,Wet years,10,High yield,251.61616161616163,127.27272727272727,9607.2529296875,0.7722933112141411,1.0,129.2201182996024,False
P75,Wet years,10,Water-saving,42.82828282828283,145.45454545454544,9511.1583984375,0.735166101662055,0.8,150.99308905107773,False
P75,Wet years,10,Fertilizer-saving,192.72727272727275,127.27272727272727,9486.4052734375,0.36502161315090376,0.8,150.8356572912479,False
P75,Wet years,10,Resource-saving,42.82828282828283,145.45454545454544,9511.1583984375,0.4479557246266928,0.8,150.99308905107773,False
P75,Wet years,10,Balanced (Yield+Resource),42.82828282828283,145.45454545454544,9511.1583984375,0.6546861816228778,0.8,150.99308905107773,False
